ORDER_NUMBER,POSITION_NUMBER,NOMENCLATURE,AMOUNT,COST,SUM,VAT
472,1,Профилактика МФУ А3 (1600),1,1500,1500,228.81
472,2,Вызов инженера,1,400,400,61.02
473,1,Диагностика,1,400,400,61.02
475,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
475,2,"Удаление вирусов, снятие банера",1,1250,1250,190.68
475,3,Ремонт оргтехники (700),1,700,700,106.78
476,1,JC97-01486A Площадка отделения(торм.) в сб ML-1210,1,450,450,68.64
476,2,JC73-00018AНасадка (рез.)на ролик захвата ML-1210/,1,350,350,53.39
477,1,JC97-01788A Муфта вала подачи верх. SCX-4016/4116/,1,350,350,53.39
477,2,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
477,3,Заправка картриджа 500,1,500,500,76.27
477,4,Свч барабан 1710/4100/4200,1,650,650,99.15
478,1,Ремонт оргтехники (1300),1,1300,1300,198.31
478,2,Мелкий ремонт,1,500,500,76.27
480,1,Вызов инженера,1,400,400,61.02
481,1,Диагностика,1,400,400,61.02
482,1,Ракель SHARP AR150/151/5012/5415,1,1880,1880,286.78
482,2,Барабан SHARP AR122/150/155/5012(AR152DM),1,2230,2230,340.17
482,3,Девелопер  SHARP AR121/151/5012/5415,1,865,865,131.95
482,4,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
483,1,Замена блока фотобарабана Ricoh1515 (Ricoh PCU Typ,1,8950,8950,1365.25
483,2,1270D/MP201,1,1900,1900,289.83
483,3,Профилактика принтера А3 (1300),1,1200,1200,183.05
484,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
484,2,Заправка картриджа 500,1,500,500,76.27
484,3,Замена чипа картриджа Xerox WC PE220 (3000 к),1,200,200,30.51
485,1,Мелкий ремонт,1,400,400,61.02
486,1,Ремонт монитора (2000),1,2000,2000,305.08
487,1,Замена блока питания (сетевой адаптер) (Н002143),1,1700,1700,259.32
488,1,Б/питания RP CG-400W 400W/12cmFAN/PFC/24 Pin/S-ATA,1,1590,1590,242.54
488,2,Мелкий ремонт,1,400,400,61.02
491,1,Профилактика принтера А3 (1300),1,1200,1200,183.05
492,1,Профилактика МФУ А4 (1200),1,500,500,76.27
493,1,Диагностика,1,400,400,61.02
494,1,Профилактика принтера А3 (1300),1,1200,1200,183.05
497,1,Замена матрицы (218750) 15.6 Glare LP156WH4 (TL)(N,1,4250,4250,648.31
498,1,Замена ролика подачи бумаги  в сборе Samsung ML 15,1,550,550,83.9
498,2,JC70-00314A Металлическая рамка площадки отделен,1,195,195,29.75
498,3,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
500,1,Мелкий ремонт,1,500,500,76.27
501,1,Резиновый вал (OEM) LJ 1010/1018,1,630,630,96.1
501,2,Замена HP RC1-2079-000 подшипника резинового вала,2,200,400,61.02
501,3,Замена термопленки HP 1200/1300/1010/1160/1320/100,1,1350,1350,205.93
501,4,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
502,1,RM1-3738 Тормозная площадка (лоток 2) в сборе HP L,1,350,350,53.39
502,2,RM1-6414 Ролик захвата из кассеты LJ P2030/2035 /,1,580,580,88.47
502,3,Профилактика МФУ А3 (1600),1,1500,1500,228.81
502,4,Замена термопленки HP 1200/1300/1010/1160/1320/100,1,1350,1350,205.93
504,1,"Удаление вирусов, снятие банера",1,1250,1250,190.68
504,2,Профилактика  ноутбука (чистка),1,1250,1250,190.68
504,3,Замена клавиатуры (88454) (ASUS N50) Black,1,1700,1700,259.32
505,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
506,1,Замена термопленки HP 1200/1300/1010/1160/1320/100,1,1350,1350,205.93
506,2,Замена подшипника резинового вала правый LJ1320/11,1,150,150,22.88
506,3,Замена подшипника  резинового вала левый LJ1320/11,1,150,150,22.88
507,1,HP Термопленка LJ 5000/5100/5200/M5025 / 5035/iR-2,1,1500,1500,228.81
508,1,Профилактика принтера А3 (1300),1,1300,1300,198.31
509,1,"Удаление вирусов, снятие банера",1,1250,1250,190.68
509,2,Заправка картриджа 500,1,500,500,76.27
510,1,NOD32-ASP-NS(BOX)-1-1 ESET NOD32 START PACK - базо,1,860,860,131.19
510,2,Установка антивирусной программы,1,400,400,61.02
511,1,Прошивка Bios (ноутбук),1,2500,2500,381.36
512,1,Профилактика принтера А3 (1300),1,1300,1300,198.31
512,2,Заправка картриджа 2000,1,2000,2000,305.08
513,1,"FA2-9037 Сепаратор (ниж) Canon NP 1215, 7161(ориг)",1,200,200,30.51
517,1,302F906240/2F906240 Ролик захвата бумаги из кассет,1,600,600,91.53
517,2,302F906230/2F906230 Ролик подачи бумаги из кассеты,1,750,750,114.41
521,1,Диагностика,1,400,400,61.02
522,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
523,1,девелопер тип 28,1,4320,4320,658.98
523,2,Профилактика (1600),1,1900,1900,289.83
523,3,B2592210/B2592200 Блок фотобарабана,1,15370,15370,2344.58
524,1,Замена аккумулятора (Н009188) ASUS X55/M50/G50/N61,1,2000,2000,305.08
524,2,Замена клавиатуры (Н002934) (ASUS N53/K53) Black,1,1100,1100,167.8
526,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
526,2,Заправка картриджа 500,1,500,500,76.27
526,3,Чип картриджа Xerox WC 3119 (3000 к),1,200,200,30.51
526,4,Свч барабан 1710/4100/4200,1,650,650,99.15
527,1,"Замена клавиатуры(103284) HP G56, G62, Compaq Pres",1,1750,1750,266.95
529,1,Ремонт ноутбука,1,1250,1250,190.68
529,2,"Замена шлейфа матрицы (048-0027) Asus K40AB, F52A",1,950,950,144.92
529,3,Установка ПО,1,400,400,61.02
530,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
532,1,Мелкий ремонт,1,500,500,76.27
534,1,Мелкий ремонт,1,500,500,76.27
535,1,Замена матрицы(Н010528) LP156WHB(LT)(A1),1,4250,4250,648.31
536,1,"Удаление вирусов, снятие банера",1,1250,1250,190.68
537,1,"Удаление вирусов, снятие банера",1,1250,1250,190.68
538,1,Профилактика принтера А4 (900),1,900,900,137.29
539,1,Мелкий ремонт,1,500,500,76.27
540,1,Прошивка Bios (ноутбук),1,2500,2500,381.36
541,1,Б/питания RP CG-450W {450W /LN/24pin/S-A} RTL,1,1780,1780,271.53
541,2,Ремонт оргтехники (800),1,800,800,122.03
542,1,Ремонт монитора,1,1100,1100,167.8
544,1,Мелкий ремонт,1,500,500,76.27
545,1,JC81-01693A Ролик под бум Sam ML 1710 (в сборе),1,550,550,83.9
545,2,JC73-00140A Тормозная площадка (резиновая накладка,1,250,250,38.14
545,3,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
